Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Post body,Post summary,Thumbnail image,Author,Author Avatar,Theme,Read time,Latitude,Longtitude
A Hero's Journey from Addiction to Inspiration: The Life of Vireak,a-heros-journey-from-addiction-to-inspiration-the-life-of-vireak,64ea91d96ff3fda1ff23fc5c,657b8a4f4d058245f3956811,false,false,Thu Dec 14 2023 23:05:51 GMT+0000 (Coordinated Universal Time),Sat Nov 23 2024 06:52:36 GMT+0000 (Coordinated Universal Time),Sat Nov 23 2024 07:19:50 GMT+0000 (Coordinated Universal Time),"<p id="""">In the heart of Sydney's Cabramatta, a young boy named Vireak embarked on a journey that seemed predestined by the shadows of his environment. His early life was marked by the pervasive presence of heroin, crime, and gangs, a setting that held a powerful sway over his destiny. The absence of stable, positive role models and the frequent encounters of his family with the law, especially his mother's involvement in running drugs set the stage for his initial descent.</p><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div id=""""><img src=""https://uploads-ssl.webflow.com/64ea91d96ff3fda1ff23fc38/657b8be04b17a8859cebac01_382598581_18384975727039599_682268933282277987_n.jpg"" loading=""lazy"" id="""" width=""auto"" height=""auto"" alt=""""></div><figcaption id="""">""An asian kid growing up in NZ with aspirations to play for the All blacks.""</figcaption></figure><p id=""""><br></p><p id="""">Vireak's path initially mirrored the environment he was born into. Driven by necessity and addiction, he found himself drawn into the world of drug dealing, a decision more about survival than choice. This lifestyle became a relentless cycle, one where every attempt to break free seemed to pull him back with even greater force. His life became a testament to the adage, ""With drugs or any addiction, it's constantly gone round in circles.""</p><p id=""""><br></p><p id="""">But within Vireak, there lay a dormant strength, an untapped potential for change. This strength was the catalyst for a series of transformations that would redefine his existence. Unlike many hero tales, Vic's mentor was not a person but his own realisation and decision to change. ""I chose to make a change,"" he asserts, marking a pivotal moment in his journey. It was the inner awakening, the self-mentorship that guided him towards a different path.</p><p id=""""><br></p><p id="""">Setting goals became Vireak's beacon through the tumult. He envisioned a life where he could be a personal trainer, a better father — aspirations that offered a stark contrast to his past. These goals were not merely dreams; they were the milestones he set on his journey towards redemption.</p><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div id=""""><img src=""https://uploads-ssl.webflow.com/64ea91d96ff3fda1ff23fc38/657b8bf2ff89734c90972b54_329216198_1691993094588387_7876016469552139779_n.jpg"" loading=""lazy"" id="""" width=""auto"" height=""auto"" alt=""""></div><figcaption id="""">Two waterfalls 💦 in one day with the Kendall’s.Wentworth falls and Minnie Haha falls, in the Blue mountains.⛰️</figcaption></figure><p id=""""><br></p><p id="""">Vireak's trials were numerous, battling not just addiction but the societal stigma attached to his past. Yet, he persevered, bolstered by the resilience within him. He realised that the true battle was against giving up. In his words, ""There's bad habits but it’s when you give up, that's when it consumes you."" His ordeal was his continuous fight against relapse and maintaining the course of his new life. This was not a singular battle but an ongoing war against his past demons and societal expectations.</p><p id=""""><br></p><p id="""">As Vireak navigated through these challenges, he began to see the value of his experiences. He understood that his journey could serve a greater purpose. His past, once a source of pain and struggle, became a tool for mentorship. ""Your story is going to impact a lot more lives than it would just burning inside you,"" he reflected. This realisation marked his transition from a life marked by adversity to one of guidance and inspiration.</p><p id=""""><br></p><p id="""">The relationship with his mother, once strained by the challenges of crime and drug involvement, evolved into a solid bond, underpinned by mutual understanding and shared experiences of transformation. They learned to rebuild their lives without the crutches of crime and drugs, forging a new path based on mutual support and the desire for a better life.</p><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div id=""""><img src=""https://uploads-ssl.webflow.com/64ea91d96ff3fda1ff23fc38/657b8c6bec888dbf78b71e11_350169655_999883111019581_6639936274423250315_n.jpg"" loading=""lazy"" id="""" width=""auto"" height=""auto"" alt=""""></div><figcaption id="""">Representing Confit Pathways.</figcaption></figure><p id="""">‍<br>Today, Vireak stands as a beacon of hope and a testament to the power of change. His journey is a powerful reminder that no matter the depth of despair, transformation is always within reach. He embodies the resilience and determination required to overcome adversity and uses his story to light the way for others. Through his work with Confit and his mentorship of young people, Vireak demonstrates that those who have walked the path of adversity are often best placed to guide others towards a brighter future. His life is a testament to the idea that with determination, support, and a willingness to change, it's possible to leave behind a troubled past and step into a role that positively impacts the lives of others.</p><p id="""">‍<br></p><p id="""">Vireak's elixir is his story and the wisdom gleaned from his experiences. By sharing his journey, he offers hope, guidance, and a tangible example of transformation, becoming a pivotal figure in the lives of the youths he mentors.</p><figure id="""" class=""w-richtext-figure-type-image w-richtext-align-center"" data-rt-type=""image"" data-rt-align=""center""><div id=""""><img src=""https://uploads-ssl.webflow.com/64ea91d96ff3fda1ff23fc38/657b8c86dbc42c5536c3bcca_350147765_658355219430197_2954085105827131601_n.jpg"" loading=""lazy"" id="""" width=""auto"" height=""auto"" alt=""""></div><figcaption id="""">Vireak at his best in detention mentoring those who need his help most.</figcaption></figure><p id="""">‍</p><p id=""""><strong id="""">Some words directly from Vireakic below:<br></strong><br>""Growing up in Cabramatta, I was surrounded by a life many can't even imagine. Back in the eighties and nineties, it was a place rooted in heroin, crime, and gangs. This environment shaped me, but it also trapped me.</p><p id=""""><br></p><p id="""">My descent into crime wasn't something I'm proud of, but it felt like the only way to survive. Moving from one women's refuge to another, with my mom being a prolific drug dealer at the time, only added to the chaos. I probably started using heroin when I was 14; it was everywhere, and it became a way to cope with my dark feelings. Life was hard, filled with constant challenges and few escapes. As I grew older, I found ways to support my habits, and so I started selling drugs.</p><p id=""""><br></p><p id="""">The struggle with addiction is hard to describe unless you've been through it. I felt like I was constantly going in circles, always pulled back by the strong tug of the drugs. But what I tell the boys is, don't stop trying to quit. There are bad habits, but it’s when you give up that they consume you. That was my reality, a never-ending cycle of addiction.</p><p id=""""><br></p><p id="""">My time in youth detention and prison was a harsh reality check. There, I faced the consequences of my actions head-on. The cold bars and isolation made me reflect on my life choices. I don't look back on that part of my life fondly, but it was crucial for my change. The days and nights spent there were filled with introspection and a growing resolve to turn my life around. Funnily enough, I don’t think the punishment itself was what turned me around; it was getting over the lifestyle of drug addiction and constant chasing that forced my hand. I was just over it.</p><p id=""""><br></p><p id="""">I chose to make a change... I was set for failure in my mind. From my teachers to my family and community, the only thing I saw, heard, and felt was that Vireak is a loser. I believed that for a long time, but changing my mindset led to changing my health, wellbeing, and life.</p><p id=""""><br></p><p id="""">Talking about my family, especially my relationship with my mom and brother, is complex. My mom, who was involved in running drugs, and I have come a long way. We've rebuilt our lives, leaving behind the crime and drugs. My brother, however, is a different story. He's still in jail, in and out over the years. I use my brother as part of the stories I tell the boys because I chose to make a change, and he kept doing the same thing over and over again. It's tough to talk about, but it's a reality that shapes my message to the kids I mentor.</p><p id=""""><br></p><p id="""">Telling this story is tough. But when I share it, I see the impact it has. My story will impact more lives than if I kept it inside. People will always judge you, no matter what, and that continues to be tough, but I keep trying. Sharing my journey isn't just about me. It's about helping others see that change is possible, no matter where you come from.""</p><p id=""""><br></p><p id="""">Lot's of love</p><p id="""">Vireak</p>","This post delves into the life of Vireak, a man who grew up in the challenging environment of Cabramatta, Sydney, in the 1980s and 1990s. Surrounded by crime, gangs, and drug addiction from an early age, Vic's story is one of resilience and redemption. Despite falling into the cycle of addiction and crime himself, he manages to break free, turning his life around to become a mentor and guide for young people facing similar struggles. His journey highlights the power of change, the importance of self-belief, and the impact of sharing personal experiences to inspire others.",https://cdn.prod.website-files.com/64ea91d96ff3fda1ff23fc38/657b89dd06c1b1ffe9ddeed5_IMG_9882.jpg,Benjamin Knight,https://cdn.prod.website-files.com/64ea91d96ff3fda1ff23fc38/65765015396cdcb6106114ad_BK-1_Square.jpg,Redemption,10 mins,,
A Story of Resilience and Advocacy,a-story-of-resilience-and-advocacy,64ea91d96ff3fda1ff23fc5c,64ea91d96ff3fda1ff23fc79,false,false,Wed Mar 22 2023 10:25:25 GMT+0000 (Coordinated Universal Time),Sat Nov 23 2024 06:52:37 GMT+0000 (Coordinated Universal Time),Sat Nov 23 2024 07:19:50 GMT+0000 (Coordinated Universal Time),"<p id="""">I've been wrestling with whether to share this story. It's personal, raw, and still very fresh. But in the spirit of Ros, a woman who taught me to ""Just f%@# do it - if it feels right, do it,"" I've decided to share. Last week, we lost Ros. Despite the pain of her passing, her spirit and lessons remain with us.</p><p id="""">Ros was a beacon of light in our community. Despite experiencing homelessness, she dedicated her life to helping others. I had the privilege of spending a significant amount of time with Ros, documenting her story for a campaign with Orange Sky. But our connection didn't end there. Ros stayed involved, speaking at events, giving interviews, and continuing to advocate for those less fortunate.</p><p id="""">One indelible memory that will forever remain with me is of the times I would take one of my daughters to buy flowers from Ros. It was more than a social visit; it was an opportunity for my daughter to meet a brave woman who embodied resilience, passion, and the human spirit. These visits opened up conversations about homelessness, resilience, and the power of compassion. After Ros's funeral, being able to discuss her life and legacy with my daughter was profoundly moving. I am grateful to Ros and the people in her life for gifting us these special moments and a story that my daughter can carry with her throughout her life.</p><p id="""">Ros's funeral was a testament to her impact. Hundreds attended, from those in homelessness services to local community businesses, and even those who were, like her, doing it tough. As I sat there, watching photos I had taken of her flash across the screen, accompanied by a hauntingly beautiful melody, I felt a profound sense of gratitude. I had been given the opportunity to experience Ros's energy, her passion, and her unwavering dedication to helping others without expecting anything in return.</p><p id="""">Ros was a fighter. She stood up for her friends, penned letters advocating for change, and faced the repercussions of her actions with courage. She lived her life the best way she knew how, even when it meant facing fines and backlash.</p><p id="""">Her voice, often discounted due to her history and rebellious spirit, cut through the noise. It reached higher levels, demanding attention and change. But was it respected enough? Was it heard by those who could enact the change she so passionately fought for?</p><p id="""">Losing Ros has left me in a state of introspection. I'm grappling with my role in social and systemic change. I feel a mix of confusion and anger, but also a deep sense of purpose. Ros's spirit has left an indelible mark on me. It's not just about the story we told for a campaign, but the lessons I learned from her about sacrifice, about fighting for what you believe in, and about the true cost of change.</p><p id="""">So, I ask you, what does it mean to have people like Ros supporting better decisions? How can we ensure their voices are not just heard, but acted upon? As I navigate this journey, I am reminded of Ros's resilience. Her story serves as a stark reminder that we must continue to fight, to listen, and to amplify the voices of those who are often overlooked. Because in their stories, we find the raw, beautiful truth of humanity.</p><p>‍</p>","I've been wrestling with whether to share this story. It's personal, raw, and still very fresh. But in the spirit of Ros, a woman who taught me to ""Just f%@# do it - if it feels right, do it,"" I've decided to share. Last week, we lost Ros. Despite the pain of her passing, her spirit and lessons remain with us.",https://cdn.prod.website-files.com/64ea91d96ff3fda1ff23fc38/64f280190ea36754c525f840_95796644_2595247240691381_3361350940400549888_n.jpg,Benjamin Knight,https://cdn.prod.website-files.com/64ea91d96ff3fda1ff23fc38/65765015396cdcb6106114ad_BK-1_Square.jpg,Advocacy,5 mins,,
ACT newsletter 2,act-newsletter-2,64ea91d96ff3fda1ff23fc5c,665d4b6df9fb8bb8b2996c51,false,true,Mon Jun 03 2024 04:49:49 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2024 10:01:21 GMT+0000 (Coordinated Universal Time),,"<p data-sp-article=""PP4KPPDEZ.16"" id=""a6c52431-d2a0-477f-ade1-3d0a552046c9"">Test</p><p id=""5c3a53f5-b852-4fab-908e-ad8286629636"">We’ve had an exciting few months at A Curious Tractor, with various impactful projects and collaborations underway. Here’s a snapshot of our latest activities and achievements:</p><ol><li class=""base-text""><p id=""140d03a5-4589-4f49-9a05-cecf05315572""><strong>Empathy Ledger &amp; Confit Partnership</strong>: We are thrilled to announce that Confit has officially joined us as our first partner for Empathy Ledger. Together, we aim to amplify the voices of young people and share their powerful stories, connecting them with supporters and philanthropists to drive meaningful change.</p></li><li class=""base-text""><p id=""8faf2e4a-236d-477a-8021-8b53245806fa""><strong>Plant it for the Planet</strong>: Our initiative to combat climate change through community engagement in planting is gaining momentum. We’re excited to see more individuals and organizations joining us in this effort to foster hope and sustainability.</p></li><li class=""base-text""><p id=""331b61b2-ac20-44a7-adb3-61e22b02ded8""><strong>Conversation Camp</strong>: We continue to host transformative conversations through our Conversation Camp project, encouraging participants to engage deeply, think critically, and collaborate towards positive change.</p></li></ol><div data-ver=""2"" data-format=""gallery"" data-title="""" id=""7f4ff091-c178-421f-8461-54eb22b31abe"" class=""box-border""><div class=""gallery-row gallery-card""><div style=""flex: 1 1 0%"" class=""gallery-image""><img src=""https://uploads-ssl.webflow.com/64ea91d96ff3fda1ff23fc38/665d4c2d85021ef6d6772b36_238f14d6-06e5-4de6-b42e-64f674ba42b9.webp""></div><div style=""flex: 1.7777777777777777 1 0%"" class=""gallery-image""><img src=""https://uploads-ssl.webflow.com/64ea91d96ff3fda1ff23fc38/665d4c2e85021ef6d6772dea_114187de-1dba-4aad-bc86-a19749f8b2bc.webp""></div><div style=""flex: 1.4146772767462423 1 0%"" class=""gallery-image""><img src=""https://uploads-ssl.webflow.com/64ea91d96ff3fda1ff23fc38/665d4c2e85021ef6d6772ded_dfbd57c8-4824-41a7-a2dd-261c8d134c35.webp""></div></div><div class=""gallery-row gallery-card""><div style=""flex: 2.0236087689713322 1 0%"" class=""gallery-image""><img src=""https://uploads-ssl.webflow.com/64ea91d96ff3fda1ff23fc38/665d4c2e85021ef6d6772ca0_f1840018-9fa1-490f-bbfe-0533c4aa9046.gif""></div><div style=""flex: 1.7877094972067038 1 0%"" class=""gallery-image""><img src=""https://uploads-ssl.webflow.com/64ea91d96ff3fda1ff23fc38/665d4c2e85021ef6d6772b3c_6a39d742-75ab-43b8-895a-a4941fc08eba.webp""></div></div></div><p data-sp-article-end=""PP4KPPDEZ.16"" id=""a90b207c-0a8b-49fe-8a7c-584c9e61ebd8""></p>
<script async type=""module"" src=""https://script-providers.storipress.workers.dev/storipress.mjs?client=PP4KPPDEZ&platform=webflow""></script>",This is a newsletter,,,,,,,
ACT newsletter 2,act-newsletter-2-2,64ea91d96ff3fda1ff23fc5c,666ac2d26c4bbde8a82767a7,false,true,Thu Jun 13 2024 09:58:42 GMT+0000 (Coordinated Universal Time),Fri Jun 14 2024 09:18:01 GMT+0000 (Coordinated Universal Time),,"<p data-sp-article=""PP4KPPDEZ.18"" id=""a6c52431-d2a0-477f-ade1-3d0a552046c9"">Test</p><p id=""5c3a53f5-b852-4fab-908e-ad8286629636"">We’ve had an exciting few months at A Curious Tractor, with various impactful projects and collaborations underway. Here’s a snapshot of our latest activities and achievements:</p><ol><li class=""base-text""><p id=""140d03a5-4589-4f49-9a05-cecf05315572""><strong>Empathy Ledger &amp; Confit Partnership</strong>: We are thrilled to announce that Confit has officially joined us as our first partner for Empathy Ledger. Together, we aim to amplify the voices of young people and share their powerful stories, connecting them with supporters and philanthropists to drive meaningful change.</p></li><li class=""base-text""><p id=""8faf2e4a-236d-477a-8021-8b53245806fa""><strong>Plant it for the Planet</strong>: Our initiative to combat climate change through community engagement in planting is gaining momentum. We’re excited to see more individuals and organizations joining us in this effort to foster hope and sustainability.</p></li><li class=""base-text""><p id=""331b61b2-ac20-44a7-adb3-61e22b02ded8""><strong>Conversation Camp</strong>: We continue to host transformative conversations through our Conversation Camp project, encouraging participants to engage deeply, think critically, and collaborate towards positive change.</p></li></ol><div data-ver=""2"" data-format=""gallery"" data-title="""" id=""7f4ff091-c178-421f-8461-54eb22b31abe"" class=""box-border""><div class=""gallery-row gallery-card""><div style=""flex: 1 1 0%"" class=""gallery-image""><img src=""https://uploads-ssl.webflow.com/64ea91d96ff3fda1ff23fc38/665d4c2d85021ef6d6772b36_238f14d6-06e5-4de6-b42e-64f674ba42b9.webp""></div><div style=""flex: 1.7777777777777777 1 0%"" class=""gallery-image""><img src=""https://uploads-ssl.webflow.com/64ea91d96ff3fda1ff23fc38/665d4c2e85021ef6d6772dea_114187de-1dba-4aad-bc86-a19749f8b2bc.webp""></div><div style=""flex: 1.4146772767462423 1 0%"" class=""gallery-image""><img src=""https://uploads-ssl.webflow.com/64ea91d96ff3fda1ff23fc38/665d4c2e85021ef6d6772ded_dfbd57c8-4824-41a7-a2dd-261c8d134c35.webp""></div></div><div class=""gallery-row gallery-card""><div style=""flex: 2.0236087689713322 1 0%"" class=""gallery-image""><img src=""https://uploads-ssl.webflow.com/64ea91d96ff3fda1ff23fc38/665d4c2e85021ef6d6772ca0_f1840018-9fa1-490f-bbfe-0533c4aa9046.gif""></div><div style=""flex: 1.7877094972067038 1 0%"" class=""gallery-image""><img src=""https://uploads-ssl.webflow.com/64ea91d96ff3fda1ff23fc38/665d4c2e85021ef6d6772b3c_6a39d742-75ab-43b8-895a-a4941fc08eba.webp""></div></div></div><p data-sp-article-end=""PP4KPPDEZ.18"" id=""a90b207c-0a8b-49fe-8a7c-584c9e61ebd8""></p>
<script async type=""module"" src=""https://script-providers.storipress.workers.dev/storipress.mjs?client=PP4KPPDEZ&platform=webflow""></script>",This is a newsletter,,,,,,,
